county,ward,office,district,total votes,party,candidate,votes
Kenosha,Town Of Brighton Wards 1 - 3,"Us Congress, District No. 1",,48,Democratic,Paulette Garin,8
Kenosha,Town Of Bristol Wards 1 - 4 & 8,"Us Congress, District No. 1",,63,Democratic,Paulette Garin,19
Kenosha,Town Of Bristol Ward 5,"Us Congress, District No. 1",,7,Democratic,Paulette Garin,1
Kenosha,Town Of Bristol Ward 6,"Us Congress, District No. 1",,23,Democratic,Paulette Garin,2
Kenosha,Town Of Bristol Ward 7,"Us Congress, District No. 1",,3,Democratic,Paulette Garin,1
Kenosha,Town Of Paris Wards 1 & 2,"Us Congress, District No. 1",,81,Democratic,Paulette Garin,16
Kenosha,Town Of Randall Wards 1 - 5,"Us Congress, District No. 1",,72,Democratic,Paulette Garin,13
Kenosha,"Town Of Salem Wards 1, 7, 11 - 15","Us Congress, District No. 1",,227,Democratic,Paulette Garin,67
Kenosha,Town Of Salem Wards 2 & 5,"Us Congress, District No. 1",,10,Democratic,Paulette Garin,2
Kenosha,"Town Of Salem Wards 3, 4, 6, 8 - 10","Us Congress, District No. 1",,50,Democratic,Paulette Garin,13
Kenosha,"Town Of Somers Wards 1 - 4, 9 - 11","Us Congress, District No. 1",,310,Democratic,Paulette Garin,89
Kenosha,"Town Of Somers Wards 5, 6 & 12","Us Congress, District No. 1",,124,Democratic,Paulette Garin,47
Kenosha,Town Of Somers Ward 7,"Us Congress, District No. 1",,36,Democratic,Paulette Garin,13
Kenosha,Town Of Somers Ward 8,"Us Congress, District No. 1",,51,Democratic,Paulette Garin,16
Kenosha,Town Of Wheatland Wards 1 - 5,"Us Congress, District No. 1",,60,Democratic,Paulette Garin,18
Kenosha,Village Of Genoa City Wards 4 & 5,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,Village Of Paddock Lake Wards 1 - 3 & 5,"Us Congress, District No. 1",,139,Democratic,Paulette Garin,36
Kenosha,Village Of Paddock Lake Ward 4,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,Village Of Pleasant Prairie Wards 1 - 3,"Us Congress, District No. 1",,167,Democratic,Paulette Garin,48
Kenosha,Village Of Pleasant Prairie Wards 4 & 5,"Us Congress, District No. 1",,68,Democratic,Paulette Garin,22
Kenosha,Village Of Pleasant Prairie Wards 6 & 7,"Us Congress, District No. 1",,219,Democratic,Paulette Garin,64
Kenosha,Village Of Pleasant Prairie Wards 8 - 11,"Us Congress, District No. 1",,215,Democratic,Paulette Garin,66
Kenosha,Village Of Pleasant Prairie Wards 12 & 13,"Us Congress, District No. 1",,201,Democratic,Paulette Garin,38
Kenosha,Village Of Silver Lake Wards 1 - 3,"Us Congress, District No. 1",,45,Democratic,Paulette Garin,13
Kenosha,Village Of Twin Lakes Wards 1 - 12,"Us Congress, District No. 1",,77,Democratic,Paulette Garin,45
Kenosha,City Of Kenosha Ward 1,"Us Congress, District No. 1",,150,Democratic,Paulette Garin,49
Kenosha,City Of Kenosha Ward 2,"Us Congress, District No. 1",,153,Democratic,Paulette Garin,66
Kenosha,City Of Kenosha Ward 3,"Us Congress, District No. 1",,138,Democratic,Paulette Garin,52
Kenosha,City Of Kenosha Ward 4,"Us Congress, District No. 1",,187,Democratic,Paulette Garin,54
Kenosha,City Of Kenosha Ward 5,"Us Congress, District No. 1",,194,Democratic,Paulette Garin,60
Kenosha,City Of Kenosha Ward 6,"Us Congress, District No. 1",,148,Democratic,Paulette Garin,47
Kenosha,City Of Kenosha Ward 7,"Us Congress, District No. 1",,244,Democratic,Paulette Garin,88
Kenosha,City Of Kenosha Ward 8,"Us Congress, District No. 1",,277,Democratic,Paulette Garin,107
Kenosha,City Of Kenosha Ward 9,"Us Congress, District No. 1",,433,Democratic,Paulette Garin,175
Kenosha,City Of Kenosha Ward 10,"Us Congress, District No. 1",,205,Democratic,Paulette Garin,69
Kenosha,City Of Kenosha Ward 11,"Us Congress, District No. 1",,265,Democratic,Paulette Garin,103
Kenosha,City Of Kenosha Ward 12,"Us Congress, District No. 1",,156,Democratic,Paulette Garin,65
Kenosha,City Of Kenosha Ward 13,"Us Congress, District No. 1",,68,Democratic,Paulette Garin,22
Kenosha,City Of Kenosha Ward 14,"Us Congress, District No. 1",,44,Democratic,Paulette Garin,15
Kenosha,City Of Kenosha Ward 15,"Us Congress, District No. 1",,57,Democratic,Paulette Garin,19
Kenosha,City Of Kenosha Ward 16,"Us Congress, District No. 1",,53,Democratic,Paulette Garin,8
Kenosha,City Of Kenosha Ward 17,"Us Congress, District No. 1",,134,Democratic,Paulette Garin,44
Kenosha,City Of Kenosha Ward 18,"Us Congress, District No. 1",,75,Democratic,Paulette Garin,16
Kenosha,City Of Kenosha Ward 19,"Us Congress, District No. 1",,104,Democratic,Paulette Garin,36
Kenosha,City Of Kenosha Ward 20,"Us Congress, District No. 1",,66,Democratic,Paulette Garin,31
Kenosha,City Of Kenosha Ward 21,"Us Congress, District No. 1",,180,Democratic,Paulette Garin,55
Kenosha,City Of Kenosha Ward 22,"Us Congress, District No. 1",,70,Democratic,Paulette Garin,13
Kenosha,City Of Kenosha Ward 23,"Us Congress, District No. 1",,70,Democratic,Paulette Garin,18
Kenosha,City Of Kenosha Ward 24,"Us Congress, District No. 1",,110,Democratic,Paulette Garin,32
Kenosha,City Of Kenosha Ward 25,"Us Congress, District No. 1",,173,Democratic,Paulette Garin,39
Kenosha,City Of Kenosha Ward 26,"Us Congress, District No. 1",,173,Democratic,Paulette Garin,53
Kenosha,City Of Kenosha Ward 27,"Us Congress, District No. 1",,222,Democratic,Paulette Garin,78
Kenosha,City Of Kenosha Ward 28,"Us Congress, District No. 1",,168,Democratic,Paulette Garin,45
Kenosha,City Of Kenosha Ward 29,"Us Congress, District No. 1",,310,Democratic,Paulette Garin,79
Kenosha,City Of Kenosha Ward 30,"Us Congress, District No. 1",,120,Democratic,Paulette Garin,34
Kenosha,City Of Kenosha Ward 31,"Us Congress, District No. 1",,165,Democratic,Paulette Garin,51
Kenosha,City Of Kenosha Ward 32,"Us Congress, District No. 1",,118,Democratic,Paulette Garin,44
Kenosha,City Of Kenosha Ward 33,"Us Congress, District No. 1",,95,Democratic,Paulette Garin,30
Kenosha,City Of Kenosha Ward 34,"Us Congress, District No. 1",,76,Democratic,Paulette Garin,27
Kenosha,City Of Kenosha Ward 35,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,1
Kenosha,City Of Kenosha Ward 36,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 37,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 38,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 39,"Us Congress, District No. 1",,4,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 40,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 41,"Us Congress, District No. 1",,19,Democratic,Paulette Garin,6
Kenosha,City Of Kenosha Ward 42,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 43,"Us Congress, District No. 1",,3,Democratic,Paulette Garin,2
Kenosha,City Of Kenosha Ward 44,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,2
Kenosha,City Of Kenosha Ward 45,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 46,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 47,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 48,"Us Congress, District No. 1",,1,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 49,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 50,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 51,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 52,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 53,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 54,"Us Congress, District No. 1",,11,Democratic,Paulette Garin,4
Kenosha,City Of Kenosha Ward 55,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 56,"Us Congress, District No. 1",,3,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 57,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 58,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,1
Kenosha,City Of Kenosha Ward 59,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 60,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 61,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 62,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 63,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 64,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 65,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 66,"Us Congress, District No. 1",,2,Democratic,Paulette Garin,2
Kenosha,City Of Kenosha Ward 67,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
Kenosha,City Of Kenosha Ward 68,"Us Congress, District No. 1",,0,Democratic,Paulette Garin,0
