county,ward,office,district,total votes,party,candidate,votes
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,Non-Partisan,Robert A. Ferg,41
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,Non-Partisan,Robert A. Ferg,15
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,Non-Partisan,Robert A. Ferg,10
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,Non-Partisan,Robert A. Ferg,13
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,Non-Partisan,Robert A. Ferg,9
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,Non-Partisan,Robert A. Ferg,4
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,Non-Partisan,Robert A. Ferg,11
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,Non-Partisan,Robert A. Ferg,10
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,Non-Partisan,Robert A. Ferg,73
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,Non-Partisan,Robert A. Ferg,12
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,Non-Partisan,Robert A. Ferg,8
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,Non-Partisan,Robert A. Ferg,9
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,Non-Partisan,Robert A. Ferg,11
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,Non-Partisan,Robert A. Ferg,130
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,Non-Partisan,Robert A. Ferg,30
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,Non-Partisan,Robert A. Ferg,6
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,Non-Partisan,Robert A. Ferg,15
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,Non-Partisan,Robert A. Ferg,13
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,Non-Partisan,Robert A. Ferg,32
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,Non-Partisan,Robert A. Ferg,20
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,Non-Partisan,Robert A. Ferg,12
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 2",,47,Non-Partisan,Robert A. Ferg,13
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,180,Non-Partisan,Robert A. Ferg,24
Chippewa,Village Of Lake Hallie Wards 1 - 5,"Chippewa County Circuit Court, Branch 2",,311,Non-Partisan,Robert A. Ferg,126
Chippewa,Village Of New Auburn Ward 1,"Chippewa County Circuit Court, Branch 2",,32,Non-Partisan,Robert A. Ferg,16
Chippewa,City Of Bloomer Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,157,Non-Partisan,Robert A. Ferg,51
Chippewa,City Of Chippewa Falls Ward 1,"Chippewa County Circuit Court, Branch 2",,118,Non-Partisan,Robert A. Ferg,39
Chippewa,City Of Chippewa Falls Ward 2,"Chippewa County Circuit Court, Branch 2",,151,Non-Partisan,Robert A. Ferg,65
Chippewa,City Of Chippewa Falls Ward 3,"Chippewa County Circuit Court, Branch 2",,219,Non-Partisan,Robert A. Ferg,92
Chippewa,City Of Chippewa Falls Ward 4,"Chippewa County Circuit Court, Branch 2",,164,Non-Partisan,Robert A. Ferg,55
Chippewa,City Of Chippewa Falls Ward 5,"Chippewa County Circuit Court, Branch 2",,94,Non-Partisan,Robert A. Ferg,36
Chippewa,City Of Chippewa Falls Ward 6,"Chippewa County Circuit Court, Branch 2",,135,Non-Partisan,Robert A. Ferg,45
