county,ward,office,district,total votes,party,candidate,votes
Columbia,,State Assembly,42,1387,REP,Jon Plumer,937
Columbia,,State Assembly,42,1387,REP,Darren W. Schroeder,268
Columbia,,State Assembly,42,1387,REP,Spencer Zimmerman,74
Columbia,,State Assembly,42,1387,REP,Colleen J. Locke-Murphy,108
Columbia,,State Assembly,42,1387,REP,Scattering,0
Dane,,State Assembly,42,120,REP,Jon Plumer,109
Dane,,State Assembly,42,120,REP,Darren W. Schroeder,7
Dane,,State Assembly,42,120,REP,Spencer Zimmerman,3
Dane,,State Assembly,42,120,REP,Colleen J. Locke-Murphy,1
Dane,,State Assembly,42,120,REP,Scattering,0
Dodge,,State Assembly,42,226,REP,Jon Plumer,165
Dodge,,State Assembly,42,226,REP,Darren W. Schroeder,31
Dodge,,State Assembly,42,226,REP,Spencer Zimmerman,15
Dodge,,State Assembly,42,226,REP,Colleen J. Locke-Murphy,15
Dodge,,State Assembly,42,226,REP,Scattering,0
Fond Du Lac,,State Assembly,42,99,REP,Jon Plumer,79
Fond Du Lac,,State Assembly,42,99,REP,Darren W. Schroeder,6
Fond Du Lac,,State Assembly,42,99,REP,Spencer Zimmerman,10
Fond Du Lac,,State Assembly,42,99,REP,Colleen J. Locke-Murphy,4
Fond Du Lac,,State Assembly,42,99,REP,Scattering,0
Green Lake,,State Assembly,42,70,REP,Jon Plumer,62
Green Lake,,State Assembly,42,70,REP,Darren W. Schroeder,3
Green Lake,,State Assembly,42,70,REP,Spencer Zimmerman,0
Green Lake,,State Assembly,42,70,REP,Colleen J. Locke-Murphy,5
Green Lake,,State Assembly,42,70,REP,Scattering,0
Marquette,,State Assembly,42,107,REP,Jon Plumer,66
Marquette,,State Assembly,42,107,REP,Darren W. Schroeder,18
Marquette,,State Assembly,42,107,REP,Spencer Zimmerman,14
Marquette,,State Assembly,42,107,REP,Colleen J. Locke-Murphy,9
Marquette,,State Assembly,42,107,REP,Scattering,0
Columbia,,State Assembly,42,569,DEM,Ann Groves Lloyd,569
Columbia,,State Assembly,42,569,DEM,Scattering,0
Dane,,State Assembly,42,59,DEM,Ann Groves Lloyd,59
Dane,,State Assembly,42,59,DEM,Scattering,0
Dodge,,State Assembly,42,58,DEM,Ann Groves Lloyd,58
Dodge,,State Assembly,42,58,DEM,Scattering,0
Fond Du Lac,,State Assembly,42,14,DEM,Ann Groves Lloyd,14
Fond Du Lac,,State Assembly,42,14,DEM,Scattering,0
Green Lake,,State Assembly,42,12,DEM,Ann Groves Lloyd,12
Green Lake,,State Assembly,42,12,DEM,Scattering,0
Marquette,,State Assembly,42,42,DEM,Ann Groves Lloyd,42
Marquette,,State Assembly,42,42,DEM,Scattering,0
Columbia,,State Assembly,42,0,LIB,Scattering,0
Dane,,State Assembly,42,0,LIB,Scattering,0
Dodge,,State Assembly,42,0,LIB,Scattering,0
Fond Du Lac,,State Assembly,42,0,LIB,Scattering,0
Green Lake,,State Assembly,42,0,LIB,Scattering,0
Marquette,,State Assembly,42,0,LIB,Scattering,0
Columbia,,State Assembly,42,0,WGR,Scattering,0
Dane,,State Assembly,42,0,WGR,Scattering,0
Dodge,,State Assembly,42,0,WGR,Scattering,0
Fond Du Lac,,State Assembly,42,0,WGR,Scattering,0
Green Lake,,State Assembly,42,0,WGR,Scattering,0
Marquette,,State Assembly,42,1,WGR,Scattering,1
Columbia,,State Assembly,42,0,CON,Scattering,0
Dane,,State Assembly,42,0,CON,Scattering,0
Dodge,,State Assembly,42,0,CON,Scattering,0
Fond Du Lac,,State Assembly,42,0,CON,Scattering,0
Green Lake,,State Assembly,42,0,CON,Scattering,0
Marquette,,State Assembly,42,0,CON,Scattering,0
