ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Joan F. Kessler,Scattering ,
DATE,TYPE,SUBTYPE,KEYWORD,NAME,DISTRICT,DISTRICT,DISTRICT,DISTRICT,NUMBER,NAME,TYPE,NUMBER,NAME,NUMBER,NUMBER,NAME,Non-Partisan,,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,106,Bayside,41106,4,Wards 1 & 4,45,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,106,Bayside,41106,5,Wards 2 & 5,100,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,106,Bayside,41106,6,Wards 3 & 7,79,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,107,Brown Deer,41107,12,Wards 1 - 3,344,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,107,Brown Deer,41107,13,"Wards 4, 5 & 7",281,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,23,1,41,Milwaukee,Village,107,Brown Deer,41107,14,"Wards 6, 8 & 9",208,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,126,Fox Point,41126,3,Wards 1 - 4,236,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,126,Fox Point,41126,4,Wards 5 - 9,259,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,Village,131,Greendale,41131,6,Wards 1 & 2,166,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,Village,131,Greendale,41131,7,Wards 3 & 4,201,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,Village,131,Greendale,41131,8,Wards 5 & 6,211,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,Village,131,Greendale,41131,9,Wards 7 & 8,222,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,82,1,41,Milwaukee,Village,131,Greendale,41131,10,Wards 9 & 10,210,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,84,1,41,Milwaukee,Village,136,Hales Corners,41136,4,Wards 1 - 3,91,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,84,1,41,Milwaukee,Village,136,Hales Corners,41136,5,Wards 4 - 6,67,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",1,28,84,1,41,Milwaukee,Village,136,Hales Corners,41136,6,Wards 7 - 9,100,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,176,River Hills,41176,3,Ward 1,36,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,176,River Hills,41176,4,Wards 2 & 3,245,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,181,Shorewood,41181,13,Wards 1 - 4,298,5,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,181,Shorewood,41181,14,Wards 5 - 8,289,6,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,181,Shorewood,41181,15,Wards 9 - 12,260,5,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,Village,191,West Milwaukee,41191,3,"Wards 1, 2 & 5",49,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,5,13,1,41,Milwaukee,Village,191,West Milwaukee,41191,4,"Wards 3, 4 & 6",68,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,8,Wards 1 & 2,44,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,9,Wards 3 & 4,50,2,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,10,Wards 5 & 6,35,3,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,11,Wards 7 & 8,39,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,13,Ward 9,23,1,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,14,Ward 10,30,0,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",5,8,22,1,41,Milwaukee,Village,192,Whitefish Bay,41192,15,Wards 11 & 12,58,4,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,15,Wards 1 - 3,538,6,
6-Apr-10,SPRING,GENERAL,APPEALS,"Court of Appeals, District 1",4,7,20,1,41,Milwaukee,City,211,Cudahy,41211,16,Wards 4 - 6,484,7,
