ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
DATE,TYPE,SUBTYPE,KEYWORD,NAME,DISTRICT,DISTRICT,DISTRICT,DISTRICT,NUMBER,NAME,TYPE,NUMBER,NAME,NUMBER,NUMBER,NAME,Non-Partisan,Non-Partisan,Non-Partisan,,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,2,Abrams,43002,2,Wards 1 - 4,66,14,8,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,6,Bagley,43006,2,,16,6,11,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,8,Brazeau,43008,2,Wards 1 - 3,38,15,10,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,10,Breed,43010,2,,20,9,16,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,30,89,3,43,Oconto,Town,12,Chase,43012,2,Wards 1 - 4,24,7,17,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,12,36,3,43,Oconto,Town,14,Doty,43014,4,Wards 1 & 2,5,7,11,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,16,Gillett,43016,2,Wards 1 & 2,91,36,29,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,2,6,3,43,Oconto,Town,18,How,43018,4,Wards 1 - 3,15,16,6,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,12,36,3,43,Oconto,Town,19,Lakewood,43019,2,,20,10,18,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,30,89,3,43,Oconto,Town,20,Lena,43020,2,Wards 1 & 2,24,7,19,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,30,89,3,43,Oconto,Town,22,Little River,43022,2,Wards 1 & 2,48,31,28,0,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Oconto County Circuit Court, Branch 2",8,30,89,3,43,Oconto,Town,24,Little Suamico,43024,4,Wards 1 - 7,68,11,18,0,,
