id,date,special,primary,recall,no_data,President,Senate,House,Governor,Lt Gov,Atty General,Sec of St,St Treasurer,Supt Public Instr,St Senate,St Assembly,Supreme Ct,Ct Appeals,Circuit Ct,Dist Atty
term:,,,,,
phase:,,,,,
1873,2018-05-15,S,P,,,,,,,,,,,,,X,,,,
1866,2018-04-03,,,,,,,,,,,,,,,,X,X,X,
1864,2018-02-20,,P,,,,,,,,,,,,,,X,,X,
1851,2018-01-16,S,,,,,,,,,,,,,X,X,,,,
1822,2017-12-19,S,P,,,,,,,,,,,,X,X,,,,
1761,2017-04-04,,,,,,,,,,,,,X,,,X,X,X,
1755,2017-02-21,,P,,,,,,,,,,,X,,,,,X,
1748,2016-11-08,,,,,X,X,X,,,,,,,X,X,,,,
1711,2016-08-09,,P,,,,X,X,,,,,,,X,X,,,,X
1865,2016-04-05,,,,,,,,,,,,,,,,X,X,X,
1710,2016-04-05,,P,,,X,,,,,,,,,,,,,,
1823,2016-02-16,,P,,,,,,,,,,,,,,X,,X,
1658,2015-09-29,S,,,,,,,,,,,,,,X,,,,
1659,2015-09-01,S,P,,,,,,,,,,,,,X,,,,
1660,2015-07-21,S,,,,,,,,,,,,,X,,,,,
1661,2015-06-23,S,P,,,,,,,,,,,,X,,,,,
1824,2015-04-07,,,,,,,,,,,,,,,,X,X,X,
1576,2015-04-07,S,,,,,,,,,,,,,X,,,,,
1573,2015-02-17,S,P,,,,,,,,,,,,X,,,,X,
1574,2014-11-04,,,,,,,X,X,,X,X,X,,X,X,,,,
1575,2014-08-12,,P,,,,,X,X,X,X,X,X,,X,X,,,,
1825,2014-04-01,,,,,,,,,,,,,,,,,X,X,
1826,2014-02-18,,P,,,,,,,,,,,,,,,,X,
1538,2013-12-17,S,,,,,,,,,,,,,,X,,,,
1827,2013-11-19,S,,,,,,,,,,,,,,X,,,,
1539,2013-11-19,S,P,,,,,,,,,,,,,X,,,,
1828,2013-10-22,S,P,,,,,,,,,,,,,X,,,,
405,2013-04-02,S,,,,,,,,,,,,,,X,,,,
404,2013-04-02,,,,,,,,,,,,,X,,,X,X,X,
407,2013-02-19,S,P,,,,,,,,,,,,,X,,,,
1829,2013-02-19,,P,,,,,,,,,,,,,,X,,X,
408,2012-12-04,S,,,,,,,,,,,,,X,,,,,
409,2012-11-06,,,,,X,X,X,,,,,,,X,X,,,,X
410,2012-11-06,S,P,,,,,,,,,,,,X,,,,,
411,2012-08-14,,P,,,,X,X,,,,,,,X,X,,,,X
1662,2012-06-05,,,R,,,,,X,X,,,,,X,,,,,
1830,2012-05-08,,P,R,,,,,X,X,,,,,X,,,,,
413,2012-04-03,,P,,,X,,,,,,,,,,,,X,X,
1831,2012-02-21,,P,,,,,,,,,,,,,,,,X,
415,2011-11-08,S,,,,,,,,,,,,,,X,,,,
416,2011-10-11,S,P,,,,,,,,,,,,,X,,,,
1832,2011-08-16,,,R,,,,,,,,,,,X,,,,,
1833,2011-08-09,S,,,,,,,,,,,,,,X,,,,
1834,2011-08-09,,,R,,,,,,,,,,,X,,,,,
1835,2011-07-19,,,R,,,,,,,,,,,X,,,,,
1836,2011-07-19,,P,R,,,,,,,,,,,X,,,,,
1837,2011-07-12,S,P,,,,,,,,,,,,,X,,,,
1838,2011-07-12,,P,R,,,,,,,,,,,X,,,,,
419,2011-05-03,S,,,,,,,,,,,,,,X,,,,
421,2011-04-05,,,,,,,,,,,,,,,,X,X,X,
422,2011-04-05,S,P,,nd,,,,,,,,,,,,,,,
1850,2011-02-15,,P,,,,,,,,,,,,,,X,,X,
424,2010-11-02,,,,,,X,X,X,,X,X,X,,X,X,,,,
425,2010-09-14,,P,,,,X,X,X,X,X,X,X,,X,X,,,,
426,2010-04-06,,,,,,,,,,,,,,,,,X,X,
427,2010-02-16,,P,,,,,,,,,,,,,,,X,X,
428,2009-04-07,,,,,,,,,,,,,X,,,X,X,X,
429,2009-02-17,,P,,,,,,,,,,,X,,,,,X,
430,2008-11-04,,,,,X,,X,,,,,,,X,X,,,,X
431,2008-09-09,,P,,,,,X,,,,,,,X,X,,,,
432,2008-04-01,,,,,,,,,,,,,,,,X,X,X,
433,2008-02-19,,P,,,X,,,,,,,,,,,,,X,
434,2007-04-03,,,,,,,,,,,,,,,,X,X,X,
435,2007-02-20,,P,,,,,,,,,,,,,,X,,X,
436,2006-11-07,,,,,,X,X,X,,X,X,X,,X,X,,,,X
437,2006-09-12,,P,,,,,,X,X,X,X,,,,,,,,
438,2006-04-04,,,,,,,,,,,,,,,,X,X,X,
439,2006-02-21,,P,,,,,,,,,,,,,,,,X,
440,2006-01-10,S,,,,,,,,,,,,,,X,,,,
441,2005-12-13,S,P,,,,,,,,,,,,,X,,,,
442,2005-04-05,,,,,,,,,,,,,X,,,X,X,X,
443,2005-02-15,,P,,nd,,,,,,,,,,,,,,,
444,2004-11-02,,,,,X,X,,,,,,,,,,,,,
445,2004-09-14,,P,,nd,,,,,,,,,,,,,,,
446,2004-04-06,,,,nd,,,,,,,,,,,,,,,
447,2004-02-17,,P,,nd,,,,,,,,,,,,,,,
448,2004-01-27,S,,,nd,,,,,,,,,,,,,,,
664,2003-11-18,,,R,nd,,,,,,,,,,,,,,,
674,2003-10-21,,P,R,nd,,,,,,,,,,,,,,,
685,2003-07-22,S,,,nd,,,,,,,,,,,,,,,
689,2003-06-24,S,P,,nd,,,,,,,,,,,,,,,
1756,2003-04-29,S,,,nd,,,,,,,,,,,,,,,
1839,2003-04-01,,,,nd,,,,,,,,,,,,,,,
1840,2003-02-18,,P,,nd,,,,,,,,,,,,,,,
1577,2002-11-05,,,,,,,X,X,,X,X,X,,X,X,,,,X
1578,2002-09-10,,P,,,,,X,X,X,X,X,X,,X,X,,,,
1841,2002-04-02,,,,nd,,,,,,,,,,,,,,,
1842,2002-02-19,,P,,nd,,,,,,,,,,,,,,,
1843,2001-04-03,,,,nd,,,,,,,,,,,,,,,
1844,2001-02-20,,P,,nd,,,,,,,,,,,,,,,
1845,2000-11-07,,,,,X,X,X,,,,,,,X,X,,,,X
1846,2000-09-12,,P,,nd,,,,,,,,,,,,,,,
1847,2000-04-04,,,,nd,,,,,,,,,,,,,,,
1848,2000-04-04,,P,,nd,,,,,,,,,,,,,,,
1849,2000-02-15,,P,,nd,,,,,,,,,,,,,,,
